Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,85.519997,85.519997,85.519997,85.519997,85.519997,0
2022-11-03,85.489998,85.489998,85.489998,85.489998,85.489998,0
2022-11-04,85.660004,85.660004,85.660004,85.660004,85.660004,0
2022-11-05,85.860001,85.860001,85.860001,85.860001,85.860001,0
2022-11-06,86.019997,86.019997,86.019997,86.019997,86.019997,0
2022-11-07,85.400002,85.400002,85.400002,85.400002,85.400002,0
2022-11-08,84.930000,84.930000,84.930000,84.930000,84.930000,0
2022-11-09,84.529999,84.529999,84.529999,84.529999,84.529999,0
2022-11-10,79.169998,79.169998,79.169998,79.169998,79.169998,0
2022-11-11,79.500000,79.500000,79.500000,79.500000,79.500000,0
2022-11-12,79.459999,79.459999,79.459999,79.459999,79.459999,0
2022-11-13,78.300003,78.300003,78.300003,78.300003,78.300003,0
2022-11-14,77.000000,77.000000,77.000000,77.000000,77.000000,0
2022-11-15,72.699997,72.699997,72.699997,72.699997,72.699997,0
2022-11-16,79.089996,79.089996,79.089996,79.089996,79.089996,0
2022-11-17,79.760002,79.760002,79.760002,79.760002,79.760002,0
2022-11-18,79.160004,79.160004,79.160004,79.160004,79.160004,0
2022-11-19,80.269997,80.269997,80.269997,80.269997,80.269997,0
2022-11-20,80.180000,80.180000,80.180000,80.180000,80.180000,0
2022-11-21,79.010002,79.010002,79.010002,79.010002,79.010002,0
2022-11-22,77.169998,77.169998,77.169998,77.169998,77.169998,0
2022-11-23,79.029999,79.029999,79.029999,79.029999,79.029999,0
2022-11-24,81.730003,81.730003,81.730003,81.730003,81.730003,0
2022-11-25,81.620003,81.620003,81.620003,81.620003,81.620003,0
2022-11-26,81.690002,81.690002,81.690002,81.690002,81.690002,0
2022-11-27,85.279999,85.279999,85.279999,85.279999,85.279999,0
2022-11-28,86.699997,86.699997,86.699997,86.699997,86.699997,0
2022-11-29,85.599998,85.599998,85.599998,85.599998,85.599998,0
2022-11-30,85.660004,85.660004,85.660004,85.660004,85.660004,0
2022-12-01,85.019997,85.019997,85.019997,85.019997,85.019997,0
2022-12-02,null,null,null,null,null,null
2022-12-03,null,null,null,null,null,null
2022-12-04,null,null,null,null,null,null
2022-12-05,null,null,null,null,null,null
2022-12-06,null,null,null,null,null,null
2022-12-07,null,null,null,null,null,null
2022-12-08,85.239998,85.239998,85.239998,85.239998,85.239998,0
2022-12-09,null,null,null,null,null,null
2022-12-10,null,null,null,null,null,null
2022-12-11,null,null,null,null,null,null
2022-12-12,84.769997,84.769997,84.769997,84.769997,84.769997,0
2022-12-13,84.699997,84.699997,84.699997,84.699997,84.699997,0
2022-12-14,83.750000,83.750000,83.750000,83.750000,83.750000,0
2022-12-15,84.050003,84.050003,84.050003,84.050003,84.050003,0
2022-12-16,83.930000,83.930000,83.930000,83.930000,83.930000,0
2022-12-17,83.910004,83.910004,83.910004,83.910004,83.910004,0
2022-12-18,83.160004,83.160004,83.160004,83.160004,83.160004,0
2022-12-19,82.550003,82.550003,82.550003,82.550003,82.550003,0
2022-12-20,82.349998,82.349998,82.349998,82.349998,82.349998,0
2022-12-21,83.519997,83.519997,83.519997,83.519997,83.519997,0
2022-12-22,null,null,null,null,null,null
2022-12-23,null,null,null,null,null,null
2022-12-24,null,null,null,null,null,null
2022-12-25,null,null,null,null,null,null
2022-12-26,null,null,null,null,null,null
2022-12-27,null,null,null,null,null,null
2022-12-28,null,null,null,null,null,null
2022-12-29,null,null,null,null,null,null
2022-12-30,null,null,null,null,null,null
2022-12-31,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-01-02,null,null,null,null,null,null
2023-01-03,null,null,null,null,null,null
2023-01-04,null,null,null,null,null,null
2023-01-05,null,null,null,null,null,null
2023-01-06,null,null,null,null,null,null
2023-01-07,null,null,null,null,null,null
2023-01-08,null,null,null,null,null,null
2023-01-09,null,null,null,null,null,null
2023-01-10,95.459999,95.459999,95.459999,95.459999,95.459999,0
2023-01-11,95.839996,95.839996,95.839996,95.839996,95.839996,0
2023-01-12,91.489998,91.489998,91.489998,91.489998,91.489998,0
2023-01-13,89.430000,89.430000,89.430000,89.430000,89.430000,0
2023-01-14,88.440002,88.440002,88.440002,88.440002,88.440002,0
2023-01-15,88.279999,88.279999,88.279999,88.279999,88.279999,0
2023-01-16,86.750000,86.750000,86.750000,86.750000,86.750000,0
2023-01-17,87.459999,87.459999,87.459999,87.459999,87.459999,0
2023-01-18,86.000000,86.000000,86.000000,86.000000,86.000000,0
2023-01-19,88.139999,88.139999,88.139999,88.139999,88.139999,0
2023-01-20,86.059998,86.059998,86.059998,86.059998,86.059998,0
2023-01-21,null,null,null,null,null,null
2023-01-22,null,null,null,null,null,null
2023-01-23,87.610001,87.610001,87.610001,87.610001,87.610001,0
2023-01-24,86.220001,86.220001,86.220001,86.220001,86.220001,0
2023-01-25,82.029999,82.029999,82.029999,82.029999,82.029999,0
2023-01-26,86.180000,86.180000,86.180000,86.180000,86.180000,0
2023-01-27,87.080002,87.080002,87.080002,87.080002,87.080002,0
2023-01-28,86.910004,86.910004,86.910004,86.910004,86.910004,0
2023-01-29,86.330002,86.330002,86.330002,86.330002,86.330002,0
2023-01-30,82.389999,82.389999,82.389999,82.389999,82.389999,0
2023-01-31,85.790001,85.790001,85.790001,85.790001,85.790001,0
2023-02-01,null,null,null,null,null,null
2023-02-02,null,null,null,null,null,null
2023-02-03,null,null,null,null,null,null
2023-02-04,null,null,null,null,null,null
2023-02-05,null,null,null,null,null,null
2023-02-06,null,null,null,null,null,null
2023-02-07,null,null,null,null,null,null
2023-02-08,null,null,null,null,null,null
2023-02-09,null,null,null,null,null,null
2023-02-10,null,null,null,null,null,null
2023-02-11,null,null,null,null,null,null
2023-02-12,null,null,null,null,null,null
2023-02-13,78.559998,78.559998,78.559998,78.559998,78.559998,0
2023-02-14,85.830002,85.830002,85.830002,85.830002,85.830002,0
2023-02-15,89.160004,89.160004,89.160004,89.160004,89.160004,0
2023-02-16,84.550003,84.550003,84.550003,84.550003,84.550003,0
2023-02-17,87.419998,87.419998,87.419998,87.419998,87.419998,0
